epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,0.7890625,,,
0,99,,0.8203125,,,
0,149,,0.8671875,,,
0,187,,,,0.9121666550636292,0.3098573684692383
0,187,0.7626875042915344,,1.6171950101852417,,
1,199,,0.890625,,,
1,249,,0.87109375,,,
1,299,,0.85546875,,,
1,349,,0.91015625,,,
1,375,,,,0.9323333501815796,0.23888525366783142
1,375,0.8787916898727417,,0.41905903816223145,,
2,399,,0.9140625,,,
2,449,,0.90625,,,
2,499,,0.87890625,,,
2,549,,0.890625,,,
2,563,,,,0.9260833263397217,0.2393817901611328
2,563,0.8993333578109741,,0.3556150197982788,,
3,599,,0.91796875,,,
3,649,,0.89453125,,,
3,699,,0.9140625,,,
3,749,,0.89453125,,,
3,751,,,,0.9428333044052124,0.20411504805088043
3,751,0.9067500233650208,,0.3283480703830719,,
4,799,,0.93359375,,,
4,849,,0.8984375,,,
4,899,,0.8984375,,,
4,939,,,,0.9459166526794434,0.19244344532489777
4,939,0.9141250252723694,,0.30655354261398315,,
5,949,,0.921875,,,
5,999,,0.890625,,,
5,1049,,0.90234375,,,
5,1099,,0.8984375,,,
5,1127,,,,0.9280833601951599,0.2591038644313812
5,1127,0.9192500114440918,,0.294473260641098,,
6,1149,,0.9375,,,
6,1199,,0.9453125,,,
6,1249,,0.91796875,,,
6,1299,,0.9140625,,,
6,1315,,,,0.9418333172798157,0.20407737791538239
6,1315,0.9219791889190674,,0.28049999475479126,,
7,1349,,0.91796875,,,
7,1399,,0.92578125,,,
7,1449,,0.92578125,,,
7,1499,,0.93359375,,,
7,1503,,,,0.953249990940094,0.1726009100675583
7,1503,0.9240000247955322,,0.2768317759037018,,
8,1549,,0.93359375,,,
8,1599,,0.94140625,,,
8,1649,,0.93359375,,,
8,1691,,,,0.9350000023841858,0.226975217461586
8,1691,0.9254375100135803,,0.27707159519195557,,
9,1699,,0.91796875,,,
9,1749,,0.90234375,,,
9,1799,,0.96484375,,,
9,1849,,0.9453125,,,
9,1879,,,,0.9510833621025085,0.1844099760055542
9,1879,0.9296875,,0.2627323865890503,,
10,1899,,0.95703125,,,
10,1949,,0.953125,,,
10,1999,,0.9140625,,,
10,2049,,0.93359375,,,
10,2067,,,,0.9419999718666077,0.20351426303386688
10,2067,0.9291874766349792,,0.2633576989173889,,
11,2099,,0.92578125,,,
11,2149,,0.91796875,,,
11,2199,,0.89453125,,,
11,2249,,0.8984375,,,
11,2255,,,,0.949916660785675,0.18130792677402496
11,2255,0.9311458468437195,,0.2539854347705841,,
12,2299,,0.921875,,,
12,2349,,0.94921875,,,
12,2399,,0.921875,,,
12,2443,,,,0.9539166688919067,0.16870570182800293
12,2443,0.9323541522026062,,0.2519749701023102,,
13,2449,,0.953125,,,
13,2499,,0.94140625,,,
13,2549,,0.91796875,,,
13,2599,,0.9375,,,
13,2631,,,,0.953416645526886,0.16608671844005585
13,2631,0.9324374794960022,,0.24688281118869781,,
14,2649,,0.9296875,,,
14,2699,,0.9453125,,,
14,2749,,0.94921875,,,
14,2799,,0.9609375,,,
14,2819,,,,0.934499979019165,0.21736915409564972
14,2819,0.9363333582878113,,0.24011078476905823,,
15,2849,,0.94140625,,,
15,2899,,0.93359375,,,
15,2949,,0.9375,,,
15,2999,,0.921875,,,
15,3007,,,,0.9496666789054871,0.1777336150407791
15,3007,0.9362083077430725,,0.2375120222568512,,
16,3049,,0.94140625,,,
16,3099,,0.92578125,,,
16,3149,,0.921875,,,
16,3195,,,,0.9581666588783264,0.16119027137756348
16,3195,0.9369583129882812,,0.2391621321439743,,
17,3199,,0.94921875,,,
17,3249,,0.94140625,,,
17,3299,,0.94140625,,,
17,3349,,0.9765625,,,
17,3383,,,,0.9547500014305115,0.17553450167179108
17,3383,0.9380624890327454,,0.22883591055870056,,
18,3399,,0.94140625,,,
18,3449,,0.9375,,,
18,3499,,0.94921875,,,
18,3549,,0.94140625,,,
18,3571,,,,0.956416666507721,0.15960019826889038
18,3571,0.9393333196640015,,0.22567953169345856,,
19,3599,,0.9765625,,,
19,3649,,0.93359375,,,
19,3699,,0.9296875,,,
19,3749,,0.93359375,,,
19,3759,,,,0.9552500247955322,0.16805042326450348
19,3759,0.9401666522026062,,0.22505789995193481,,
20,3799,,0.96484375,,,
20,3849,,0.9375,,,
20,3899,,0.92578125,,,
20,3947,,,,0.953249990940094,0.1870439648628235
20,3947,0.9396250247955322,,0.2272925227880478,,
21,3949,,0.94140625,,,
21,3999,,0.94921875,,,
21,4049,,0.93359375,,,
21,4099,,0.953125,,,
21,4135,,,,0.9589166641235352,0.16535942256450653
21,4135,0.9399166703224182,,0.2225627452135086,,
22,4149,,0.953125,,,
22,4199,,0.9453125,,,
22,4249,,0.95703125,,,
22,4299,,0.91796875,,,
22,4323,,,,0.9524999856948853,0.17296099662780762
22,4323,0.9419375061988831,,0.22627612948417664,,
23,4349,,0.94140625,,,
23,4399,,0.94921875,,,
23,4449,,0.9453125,,,
23,4499,,0.9375,,,
23,4511,,,,0.9572499990463257,0.15445147454738617
23,4511,0.9403333067893982,,0.22630831599235535,,
24,4549,,0.9609375,,,
24,4599,,0.9375,,,
